Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1774612091292,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,40,21.052631378173828,0,14.285715103149414,65,30.000001907348633,25,5,42.85714340209961,30.000001907348633,30.000001907348633,15.000000953674316,21.052631378173828,10.526315689086914,47.619049072265625,21.052631378173828,0,8192,7674,78813,67,55,64308.45983886719,41826.85144042969,1628.689208984375,33293438976,8589930496,7072796672,1078120448
200,1774612091492,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,45,35,15.000000953674316,0,100,15.000000953674316,25,20,30.000001907348633,45,45,10,22.72727394104004,14.285715103149414,0,10,0,8192,7674,79343,66,44,64312.38116455078,41829.621154785156,1628.689208984375,33293438976,8589930496,7063146496,1078120448
200,1774612091692,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,30.000001907348633,35,45,25,95.23809814453125,36.842105865478516,0,15.789472579956055,0,20,45,10,10,30.000001907348633,20,5.263157844543457,0,8192,7674,80407,67,54,64316.325134277344,41832.40808105469,1628.689208984375,33293438976,8589930496,7062888448,1078120448
200,1774612091892,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,28.571430206298828,21.052631378173828,31.57894515991211,40,65,40,0,28.571430206298828,15.000000953674316,0,36.842105865478516,0,45,10,10,20,0,8192,7674,79644,66,53,64320.025817871094,41834.989501953125,1628.689208984375,33293438976,8589930496,7051907072,1078120448
199,1774612092092,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,10,0,9.523809432983398,45,10,47.619049072265625,0,45,35,0,38.095237731933594,30.000001907348633,73.68421173095703,15.000000953674316,35,45,0,8192,7674,80022,66,44,64324.078063964844,41837.86883544922,1628.689208984375,33293438976,8589930496,7052939264,1078120448
199,1774612092292,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,36.842105865478516,4.761904716491699,47.36842346191406,26.3157901763916,0,100,0,20,0,19.047618865966797,45,45,0,35,10,45,0,8192,7674,80476,67,54,64327.98211669922,41840.620849609375,1628.689208984375,33293438976,8589930496,7052939264,1078120448
200,1774612092492,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,30.000001907348633,0,45,0,15.000000953674316,100,5,31.57894515991211,5,42.105262756347656,30.000001907348633,40,10,15.000000953674316,15.000000953674316,45,0,8192,7674,79742,67,60,64331.816467285156,41843.31555175781,1628.689208984375,33293438976,8589930496,7051395072,1078120448
199,1774612092692,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,36.842105865478516,38.095237731933594,5,38.095237731933594,5.263157844543457,100,0,33.333335876464844,36.842105865478516,5,38.095237731933594,40,0,10,15.000000953674316,5,0,8192,7674,79603,67,49,64335.578674316406,41845.94470214844,1628.689208984375,33293438976,8589930496,7064182784,1078120448
199,1774612092892,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,45,50,0,47.36842346191406,0,100,5,0,45,0,47.36842346191406,50,10,45,5,0,0,8192,7674,80511,67,47,64339.540100097656,41848.738220214844,1628.689208984375,33293438976,8589930496,7067365376,1078120448
199,1774612093092,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,47.619049072265625,40,35,75,0,45,4.761904716491699,21.052631378173828,10,20,40,40,10,20,5,0,0,8192,7674,79558,67,57,64343.297424316406,41851.330505371094,1628.689208984375,33293438976,8589930496,7054856192,1078120448
